Date,Open,Close,D/U/I
10/3/2018,57.5,58,INCREASE
10/4/2018,57.7,57,DECREASE
10/5/2018,57,56.1,DECREASE
10/8/2018,55.6,55.9,INCREASE
10/9/2018,55.9,56.7,INCREASE
10/10/2018,56.4,54.1,DECREASE
10/11/2018,53.6,53.6,UNCHANGE
10/12/2018,55.1,55.5,INCREASE
10/15/2018,55.3,54.3,DECREASE
10/16/2018,54.7,55.5,INCREASE
10/17/2018,55.6,55.3,DECREASE
10/18/2018,54.5,54,DECREASE
10/19/2018,54.5,54.8,INCREASE
10/22/2018,54.9,55.2,INCREASE
10/23/2018,54,55.7,INCREASE
10/24/2018,55.7,53.8,DECREASE
10/25/2018,54.4,55,INCREASE
10/26/2018,54,54.1,INCREASE
10/29/2018,54.8,53.1,DECREASE
10/30/2018,52.8,53.3,INCREASE
10/31/2018,54.2,54.7,INCREASE
11/1/2018,54.8,55.6,INCREASE
11/2/2018,52.4,51.9,DECREASE
11/5/2018,51.1,50.4,DECREASE
11/6/2018,50.5,50.9,INCREASE
11/7/2018,51.5,52.5,INCREASE
11/8/2018,52.5,52.1,DECREASE
11/9/2018,51.4,51.1,DECREASE
11/12/2018,49.8,48.5,DECREASE
11/13/2018,47.9,48.1,INCREASE
11/14/2018,48.5,46.7,DECREASE
11/15/2018,47.1,47.9,INCREASE
11/16/2018,47.6,48.4,INCREASE
11/19/2018,47.5,46.5,DECREASE
11/20/2018,44.6,44.2,DECREASE
11/21/2018,44.9,44.2,DECREASE
11/23/2018,43.7,43.1,DECREASE
11/26/2018,43.6,43.7,INCREASE
11/27/2018,42.9,43.6,INCREASE
11/28/2018,44.2,45.2,INCREASE
11/29/2018,45.7,44.9,DECREASE
11/30/2018,45.1,44.6,DECREASE
12/3/2018,46.1,46.2,INCREASE
12/4/2018,45.2,44.2,DECREASE
12/6/2018,42.9,43.7,INCREASE
12/7/2018,43.4,42.1,DECREASE
12/10/2018,41.3,42.4,INCREASE
12/11/2018,42.9,42.2,DECREASE
12/12/2018,42.6,42.3,DECREASE
12/13/2018,42.6,42.7,INCREASE
12/14/2018,42.3,41.4,DECREASE
12/17/2018,41.4,41,DECREASE
12/18/2018,41.3,41.5,INCREASE
12/19/2018,41.5,40.2,DECREASE
12/20/2018,40.1,39.2,DECREASE
12/21/2018,39.2,37.7,DECREASE
12/24/2018,37,36.7,DECREASE
12/26/2018,37.1,39.3,INCREASE
12/27/2018,39,39,UNCHANGE
12/28/2018,39.4,39.1,DECREASE
12/31/2018,39.6,39.4,DECREASE
1/2/2019,38.7,39.5,INCREASE
1/3/2019,36,35.5,DECREASE
1/4/2019,36.1,37.1,INCREASE
1/7/2019,37.2,37,DECREASE
